country,continent,mean_temp,mean_precip,mean_pm25,n
Afghanistan,Asia,19.445949367088605,0.03418987341772152,18.418348101024385,790
Albania,Europe,19.399112801013942,0.13105196451204057,14.534068441548124,789
Algeria,Africa,20.25291878172589,0.04766497461928934,18.271383249699163,788
Andorra,Europe,8.89379746835443,0.11318987341772152,4.755781013382538,790
Angola,Africa,25.742911392405066,0.03189873417721519,29.46183544207223,790
Antigua and Barbuda,North America,26.333842239185753,0.11384223918575063,10.718526463282927,786
Argentina,South America,14.493654822335026,0.09406091370558377,11.113445432440278,788
Armenia,Asia,17.050379746835443,0.04805063291139241,12.850632911754559,790
Australia,Oceania,15.307206068268016,0.10591656131479141,7.359159291975115,791
Austria,Europe,13.124968314321928,0.06993662864385297,16.85096324449256,789
Azerbaijan,Asia,19.09467680608365,0.03233206590621039,16.46523447407818,789
Bahamas,North America,24.784183673469386,0.06446428571428571,8.8882270404514,784
Bahrain,Asia,29.80759493670886,0.0040759493670886075,64.11717088221296,790
Bangladesh,Asia,31.249049429657795,0.30392902408111533,66.47631812493309,789
Barbados,North America,26.9991116751269,0.13638324873096447,11.314553348957585,788
Belarus,Europe,10.030164765525983,0.08430925221799745,13.464512040436796,789
Belgium,Europe,12.639353099730458,0.07876010781671158,16.9501954175327,1484
Belize,North America,22.16496815286624,0.12615286624203823,7.175678981013207,785
Benin,Africa,28.085424588086187,0.12035487959442331,25.56727503313613,789
Bhutan,Asia,13.726776649746194,0.3073730964467005,9.373972081218273,788
Bolivia,South America,17.088392857142857,0.10627551020408163,11.760724490343309,1568
Bosnia and Herzegovina,Europe,12.981012658227849,0.1497974683544304,25.441139240627045,790
Botswana,Africa,21.692902408111536,0.05007604562737642,15.441026617903521,789
Brazil,South America,24.049363867684477,0.20740458015267177,9.207977099539972,786
Brunei Darussalam,Other,29.64238578680203,0.4788959390862944,14.172373096809773,788
Bulgaria,Europe,14.793204419889504,0.09550276243093922,17.75680386742966,1810
Burkina Faso,Africa,27.855696202531647,0.05724050632911392,39.13570886124237,790
Burundi,Africa,25.476991150442476,0.17780025284450066,25.177117572692794,791
Cambodia,Asia,32.042585551330795,0.13993662864385298,27.25440431021919,789
Cameroon,Africa,25.180228136882132,0.2261089987325729,22.56831432192649,789
Canada,North America,5.737944162436548,0.1468527918781726,8.561611675111775,788
Cape Verde,Africa,23.86392405063291,0.01130379746835443,24.31708228330974,790
Central African Republic,Africa,27.521166032953108,0.12661596958174906,26.165861850806216,789
Chad,Africa,29.223640960809103,0.03814159292035398,45.131959542950845,791
Chile,South America,10.890724269377383,0.05473951715374841,141.53895171537485,787
China,Asia,18.838071065989848,0.06921319796954314,123.3629885796484,788
Comoros,Africa,26.67039390088945,0.23772554002541296,8.547795425545912,787
