country,location_name,latitude,longitude,continent,mean_temp,mean_precip,mean_pm25,n
Afghanistan,Kabul,34.5167,69.1833,Asia,17.644239631336404,0.032857142857142856,19.904423962840653,651
Afghanistan,Kabul,34.52,69.18,Asia,27.884172661870505,0.04043165467625899,11.458381294964028,139
Albania,Tirana,41.3275,19.8189,Europe,16.903076923076924,0.12498461538461537,15.592923077509953,650
Albania,Tirana,41.33,19.82,Europe,31.071223021582732,0.15942446043165467,9.582589928057555,139
Algeria,Algiers,36.76,3.05,Africa,29.053623188405798,0.004057971014492754,13.106811594202899,138
Algeria,Algiers,36.7631,3.0506,Africa,18.384461538461537,0.05692307692307692,19.367861539635292,650
Andorra,Andorra La Vella,42.5,1.5167,Europe,6.761136712749616,0.09440860215053763,5.1622764985748155,651
Andorra,Andorra La Vella,42.5,1.52,Europe,18.882014388489207,0.20115107913669064,2.8519784172661873,139
Angola,Luanda,-8.84,13.23,Africa,25.834532374100718,0.00014388489208633093,62.48758992805755,139
Angola,Luanda,-8.8383,13.2344,Africa,25.72334869431644,0.038678955453149,22.410253455049247,651
Antigua and Barbuda,Saint John's,17.1167,-61.85,North America,25.815100154083204,0.11742681047765792,12.120491217473623,649
Antigua and Barbuda,Saint John's,17.12,-61.85,North America,28.791240875912408,0.09686131386861313,4.077102189781022,137
Argentina,Buenos Aires,-34.59,-58.67,South America,10.77536231884058,0.059202898550724636,9.507101449275362,138
Argentina,Buenos Aires,-34.5875,-58.6725,South America,15.283076923076923,0.10146153846153846,11.454484616558368,650
Armenia,Yerevan,40.18,44.51,Asia,30.102877697841727,0.06741007194244605,8.56025179856115,139
Armenia,Yerevan,40.1811,44.5136,Asia,14.263440860215054,0.04391705069124424,13.766705069563905,651
Australia,Canberra,-35.2833,149.2167,Oceania,17.200768049155148,0.10321044546850998,8.135192012215539,651
Australia,Canberra,-35.28,149.22,Oceania,6.423913043478261,0.10253623188405797,3.761485507246377,138
Australia,Melbourne,-37.82,144.97,Oceania,11.6,0.0,2.8,1
Australia,Melbourne,-37.8167,144.9667,Oceania,12.2,2.44,3.2,1
Austria,Vienna,48.2,16.3667,Europe,10.627496159754225,0.05559139784946236,19.18397081398561,651
Austria,Vienna,48.2,16.37,Europe,24.906521739130433,0.1376086956521739,5.845253623188405,138
Azerbaijan,Baku,40.3953,49.8822,Asia,17.185253456221197,0.03798771121351767,16.715998463974937,651
Azerbaijan,Baku,40.4,49.88,Asia,28.102173913043476,0.005652173913043478,15.282282608695652,138
Bahamas,Nassau,25.08,-77.35,North America,28.4007299270073,0.10627737226277373,4.220036496350365,137
Bahamas,Nassau,25.0833,-77.35,North America,24.01839258114374,0.05561051004636785,9.876700154117307,647
Bahrain,Manama,26.2361,50.5831,Asia,28.29109062980031,0.0049462365591397845,66.12649001067318,651
Bahrain,Manama,26.24,50.58,Asia,36.910071942446045,0.0,54.70661870503597,139
Bangladesh,Dhaka,23.72,90.41,Asia,30.327536231884057,0.5607246376811594,25.75557971014493,138
Bangladesh,Dhaka,23.7231,90.4086,Asia,31.444393241167433,0.24949308755760366,75.1083640561785,651
Barbados,Bridgetown,13.1,-59.62,North America,28.83884892086331,0.16158273381294966,3.56805035971223,139
Barbados,Bridgetown,13.1,-59.6167,North America,26.605084745762714,0.13098613251155625,12.973665699504739,649
Belarus,Minsk,53.9,27.5667,Europe,7.237076923076923,0.06564615384615385,15.092915384468666,650
Belarus,Minsk,53.9,27.57,Europe,23.091366906474818,0.17158273381294964,5.8496762589928055,139
Belgium,'S Gravenjansdijk,51.25,3.63,Europe,20.834862385321102,0.1408256880733945,7.634174311926605,109
Belgium,'S Gravenjansdijk,51.25,3.6333,Europe,12.035714285714286,0.06478260869565217,23.51166149068323,322
Belgium,'S Gravenjansdyk,51.25,3.63,Europe,16.341666666666665,0.16083333333333333,2.4583333333333335,12
Belgium,'S Gravenstaffel,50.88,2.98,Europe,15.5625,0.18875,4.675,16
Belgium,'S-Gravenbrakel,50.6,4.1333,Europe,10.310126582278482,0.06742616033755275,11.005337549523462,237
Belgium,Brussels,50.83,4.33,Europe,19.914492753623186,0.1108695652173913,6.9670289855072465,138
Belgium,Brussels,50.8333,4.3333,Europe,10.728461538461538,0.06836923076923077,20.118761539048414,650
Belize,Belmopan,17.25,-88.77,North America,25.946043165467625,0.1216546762589928,3.413618705035971,139
Belize,Belmopan,17.25,-88.7667,North America,21.351393188854487,0.12712074303405574,7.985162538847319,646
Benin,Porto-Novo,6.48,2.62,Africa,28.886231884057974,0.12942028985507245,6.453550724637681,138
Benin,Porto-Novo,6.4833,2.6167,Africa,27.915668202764973,0.1184331797235023,29.61903225982244,651
Bhutan,Thimphu,27.48,89.6,Asia,14.138405797101449,0.4921014492753623,6.930579710144928,138
Bhutan,Thimphu,27.4833,89.6,Asia,13.639384615384616,0.2681538461538462,9.892723076923076,650
Bolivia,National,-11.1833,-67.0833,South America,21.91888544891641,0.1492105263157895,11.414907121924054,646
Bolivia,National,-11.18,-67.08,South America,24.8231884057971,0.0010144927536231885,41.0751884057971,138
Bolivia,Sucre,-19.0431,-65.2592,South America,11.677279752704791,0.10766615146831529,6.120710973872283,647
Bolivia,Sucre,-19.04,-65.26,South America,12.074452554744527,0.0032846715328467154,10.498613138686132,137
Bosnia and Herzegovina,Sarajevo,43.85,18.38,Europe,26.22589928057554,0.2941726618705036,7.910647482014388,139
Bosnia and Herzegovina,Sarajevo,43.85,18.3833,Europe,10.152995391705069,0.11897081413210446,29.184208909516695,651
Botswana,Gaborone,-24.65,25.91,Africa,25.374820143884893,0.0005035971223021583,10.778129496402878,139
Botswana,Gaborone,-24.6464,25.9119,Africa,20.905538461538463,0.06067692307692307,16.438169233116735,650
Brazil,Bras,-2.0833,-58.1667,South America,23.128328173374612,0.23055727554179567,9.819179566932537,646
Brazil,Bras,-2.08,-58.17,South America,28.471014492753625,0.1013768115942029,6.256376811594203,138
Brazil,Sao Paulo,-23.5333,-46.6167,South America,15.0,0.0,17.8,1
Brazil,Sao Paulo,-23.53,-46.62,South America,17.9,0.09,13.1,1
Brunei Darussalam,Bandar Seri Begawan,4.88,114.93,Other,27.60072463768116,0.6179710144927536,7.643152173913043,138
Brunei Darussalam,Bandar Seri Begawan,4.8833,114.9333,Other,30.075846153846154,0.44936923076923074,15.55857692351708,650
Bulgaria,Bogot,43.3167,24.7,Europe,14.178799249530957,0.06812382739212008,18.46857410881801,533
Bulgaria,Bogot,43.32,24.7,Europe,29.91897810218978,0.13036496350364962,6.978175182481752,137
Bulgaria,Lom,43.81,23.24,Europe,26.202777777777776,0.23249999999999998,4.777777777777778,36
Bulgaria,Lom,43.8139,23.2361,Europe,10.314285714285715,0.08285714285714285,14.889126983824232,315
