continent,air_quality_PM2.5,air_quality_PM10,air_quality_Carbon_Monoxide,air_quality_Ozone,air_quality_Nitrogen_dioxide,air_quality_Sulphur_dioxide
Asia,39.92155325104006,90.2459830488838,750.4760795149443,69.2502120056535,27.702322978238826,23.872925261232446
Africa,23.907728069946167,58.30841535579114,336.3705130903726,59.05125168097651,5.483071351012868,5.194244414018403
South America,22.892785639938662,28.15315343568507,599.7776537003275,40.40108050847458,13.885117524872694,11.15719665671102
Other,18.06992043452541,22.82476332419218,412.07441375047915,55.93339227077544,8.268091942259145,7.199990149033554
Europe,15.469623983463185,20.501509152954014,283.6795590587069,56.941503386382,17.695055653761255,5.312798291537324
North America,13.910522071824001,19.884555098004665,364.0784503962473,53.13809128630705,8.244538789144597,5.195932039704066
Oceania,6.619579132291086,10.318256167648665,148.40909468165063,38.22085811799123,1.3445909312460727,0.14548415405723542
