model,MAE,RMSE,MAPE_%,R2
Ridge (lags),2.2038249392801306,2.9773599554913974,82.70877186941757,0.8944916752765207
Naive (lag-1),2.232075471698113,3.127148318160427,79.19263303102888,0.8836085707185083
Ensemble (mean),2.294866602264734,3.0713950853934637,93.47001470042434,0.8877218077994457
Ensemble (VotingRegressor),2.2948666022647344,3.071395085393464,93.47001470042436,0.8877218077994457
Random Forest,2.3528951659995276,3.135712848017137,96.86802235078088,0.8829701597300936
Gradient Boosting,2.5192623306661677,3.348391925128933,108.57952145150065,0.8665567491963918
Moving Avg (7d),3.213656783468104,4.136971374385328,175.02890638746723,0.7963009174174389
